id,biz-name,biz-phone,category ,sub-category ,location-post-code ,main-office-address ,email ,operating-hours ,abn,license-number ,services-provided ,Recommendation 
36,Patrick Walker Carpentry ,400184080,Carpenters ,,2769,Ivory St The Ponds NSW 2769,patrick@pwcarpentry.com.au,7 am to 5 pm ,55 101 234 746,,"Custom carpentry services, Installation, Decking, Pergola, Timber Flooring, Fixouts, Doors, Gates, BBQ Area, Cabinets Installing also all other carpentry works, Home projects ",
37,Pure Carpentry ,450523206,Carpenters ,,2097,Collaroy,,9 am to 5 pm ,98 205 564 220,,"Furniture assembly, Installation, Carpentry Glenhaven, Decking Glenhaven, Fitouts Glenhaven, Handyman Glenhaven, Pergolas Glenhaven",
38,Finesse Carpentry and Renovations ,490389447,Carpenters ,,2769,Ponds NSW 2769,,7 am to 5.30 pm ,81 636 114 184,,"architectural joinery, bathrooms, carpentry, concreting, custom furniture, decks, drawing plans, extensions, feature walls, floating shelves, gyprock, kitchens, maintenace, outdoor entertainment, outdoor living, pergolas, planning, plasterboard, renovations, repair, roofing, tiling",
39,Plateau Electrical ,299828668,Electricians ,,2097,78 Claudare St Collaroy Plateau NSW 2097,info@plateauelectrical.com.au,24 hours ,33 132 456 599,,"Fault Finding & Switchboard Upgrades, LED & Halogen Downlights, Ceiling Fan Installation & Replacement, Smoke Alarm Installation & Replacement, Pool Lights Installation & RepairsTV Wall Mounting, Underfloor Ventilation Fans, Dimmer Switch Installation",
40,ALL Electrical Plus ,1300350632,Electricians ,,2100,4 Kadigal Pl Beacon Hill NSW 2100,info@allelectricalplus.com.au,24 hours ,45 629 033 834,,"Residential, Commercial, Solar, Switchboard Installation, Data Cabling, Security Camera Installation, EV Charger",
41,Hello Electrical ,1300303077,Electricians ,,2085,27/19 Narabang Way Belrose NSW 2085,info@helloelectrical.com.au,24 hours ,65 638 317 334,,"Electrical repars, Electrical manintenance, Electrical installation, Electrical inspections, Electrical upgrades, Electrical fault finding, Electrical fitouts, 3 phase power installation, Power pole installation, Switchboard services, Consumer mains power seervices, Electricity meter services, Power, Lighting, Safety & security, Data, TV& commucications, Appliances & heating ",
42,Northern Beaches Electrical ,410421780,Electricians ,,2099,20/1-7 Boronia Street Dee Why NSW 2099,info@northernbeacheselectrical.com.au,24 hours ,33 886 714 976,,"General Light and Power Installations, Garden lighting and public area lighting, Stove & Over Fan and Element replacemnets, Electrical requirements for Commercial Air conditioning systems, Consumer Mians upgrades, Hot Water Elements and thormostats replaced, Data and telephone point installations, Pool and Spa electrical requirements, Pay TV and Free to Air TV Cabling, Emergency Lighting Installations and Audits and Maintenance, Earth Leakage Safety Switches, Commercial Rain Water Tanks, Borepumps,Control Panel Supply and Installations, Swtitchboard Upgrades and installation, Test and Tagging of appliances, fire and smoke detectors, Intercoms, Floor heating supply and controls C-Bus Automation systems",
43,NZM Electrical Services ,405070107,Electricians ,,2131,Ashfield NSW 2131,info@nzmelectrical.com.au,24 hours ,48 924 049 493,,"Residential electrician, Comercial electrician, Industrial electrician, Power point installation, Light installation, Free Electrical quote, fault finding, Switchboard upgardes, smoke alarm installation, 24 hour emergency electrician, Tesla Wall Connector installation, EV Charger installation ",
44,Bankstown Auto Electrics ,297964665,Electricians ,,2200,119 Canterbury Road Bankstown NSW 2200,,8 am to 5.30 pm ,87 063 633 367,,"Auto electrical repairs, Starter motor repairs, Alternator repairs, batteries, Air conditioning service/re-gas ",
45,Proud Bako Electrical and Solar services Pty Ltd ,478700570,Electricians ,,2200,Shop 17/83-99 North Terrace Bankstown NSW 2200,info@proudbakoelectrical.com,24 hours ,63 645 517 479,,"Electrical, Electrical repairs, New home installation, Solar panel installation, solar panel maintenance, switchboard and power points",
